Name,Link,# of Papers
Synthetic Data,-,29
COMPAS,https://github.com/propublica/compas-analysis,16
Adult,https://archive.ics.uci.edu/ml/datasets/adult,14
Statlog German Credit,https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data),10
Proprietary Data,-,6
Folktables,https://github.com/zykls/folktables,6
ImageNet,https://datasets.activeloop.ai/docs/ml/datasets/imagenet-dataset/,4
Amazon Reviews,https://nijianmo.github.io/amazon/index.html,3
Chicago Face Dataset,https://www.chicagofaces.org/,3
Boston Housing,https://www.cs.toronto.edu/~delve/data/boston/bostonDetail.html,3
Portuguese Student Performance,https://archive.ics.uci.edu/ml/datasets/Student+Performance,3
Law School Admissions Council (LSAC),http://www.seaphe.org/databases.php,3
Open Images,https://storage.googleapis.com/openimages/web/index.html,2
Wikipedia Archives,https://dumps.wikimedia.org/,2
FairFace,https://github.com/joojs/fairface,2
CFPB Home Mortgage Disclosure Act (HMDA),https://www.consumerfinance.gov/data-research/hmda/,2
MovieLens-20M,https://grouplens.org/datasets/movielens/20m/,2
American Community Survey (ACS),http://www.census.gov/programs-surveys/acs/,2
MNIST,http://yann.lecun.com/exdb/mnist/,2
Taiwan Credit Card Default,http://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients,2
VQA 2.0,https://visualqa.org/,2
Wisconsin Breast Cancer,https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29,3
MIMIC-III,https://physionet.org/content/mimiciii/1.4/,2
RWF2000,https://github.com/mchengny/RWF2000-Video-Database-for-Violence-Detection,1
Plausible Alien Zoo,https://github.com/ukuhl/PlausibleAlienZoo,1
Platform Control,https://www.platformcontrol.org/,1
TWOPA,https://docs.google.com/spreadsheets/d/1QDFJiNvwYL-MFdfS5ZobDB9DBFITHi-Uu6J7dkUfeio/edit#gid=0,1
Bank Marketing,https://archive.ics.uci.edu/ml/datasets/bank+marketing,1
Wine Quality,https://archive.ics.uci.edu/ml/datasets/wine+Quality,1
VoxCeleb1,https://www.robots.ox.ac.uk/~vgg/data/voxceleb/vox1.html,1
Singapore Bus Routes,https://github.com/rmitbggroup/facct_2022_dataset,1
Speech Accent Archive (SAA),https://accent.gmu.edu/,1
Intonational Variation in English (IViE),http://www.phon.ox.ac.uk/files/apps/IViE/,1
Brazilian Region-based annotated Child Pornography Dataset (RCPD),http://patreo.dcc.ufmg.br/datasets/rcpd/,1
Last.fm,http://ocelma.net/MusicRecommendationDataset/index.html,1
NYPD SQF,https://www1.nyc.gov/site/nypd/stats/reports-analysis/stopfrisk.page,1
EPA Toxic Release Inventory,https://www.epa.gov/toxics-release-inventory-tri-program/tri-data-and-tools,1
GoogleLocal,https://cseweb.ucsd.edu/~jmcauley/datasets.html,1
FashionMNIST,https://github.com/zalandoresearch/fashion-mnist,1
CIFAR-10,http://www.cs.toronto.edu/~kriz/cifar.html,1
Heart Disease,https://archive.ics.uci.edu/ml/datasets/Heart+Disease,1
Pima Indians diabetes,https://raw.githubusercontent.com/jbrownlee/Datasets/master/pima-indians-diabetes.csv,1
IMDB Movie Reviews,https://www.cs.cornell.edu/people/pabo/movie-review-data/,1
Facial Expressions,https://www.kaggle.com/competitions/challenges-in-representation-learning-facial-expression-recognition-challenge/data,1
Lending Club,https://www.kaggle.com/datasets/wordsforthewise/lending-club,1
Measuring Hate Speech,https://huggingface.co/datasets/ucberkeley-dlab/measuring-hate-speech,1
DWMW17,https://github.com/t-davidson/hate-speech-and-offensive-language,1
FDCL18,https://dataverse.mpi-sws.org/dataset.xhtml?persistentId=doi:10.5072/FK2/ZDTEMN,1
TwitterAAE,http://slanglab.cs.umass.edu/TwitterAAE/,1
Stanford Question Answering Dataset (SQuAD),https://paperswithcode.com/dataset/squad,1
Chest X-Rays,https://data.mendeley.com/datasets/rscbjbr9sj/3,1
Home Equity Line of Credit,https://community.fico.com/s/explainable-machine-learning-challenge,1
Home Owners’ Loan Corporation (HOLC),"https://www.wenfeixu.com/redliningmap/
https://osf.io/qytj8/",1
MSOAC,https://c-path.org/programs/msoac/,1
Floodlight,https://vivli.org/,1
Give Me Some Credit,https://www.kaggle.com/c/GiveMeSomeCredit/overview,1
Heloc Dataset,https://community.fico.com/s/explainable-machine-learning-challenge,1
U.S. Homeless Management Information System (HMIS),https://www.hudexchange.info/resource/3824/hmis-data-dictionary/,1
